net,length_um
_0601_,5.6
_1037_,5.6
_1130_,5.6
net69,5.6
_0576_,5.56
_0698_,5.56
_0980_,5.56
_1121_,5.54
_0552_,5.51
_0002_,5.48
_0137_,5.48
_0467_,5.48
_0483_,5.48
_0898_,5.48
_1272_,5.48
_0618_,5.46
mplier[14],5.41
_0926_,5.4
_0326_,5.38
_0644_,5.38
_1244_,5.38
_0110_,5.36
_0356_,5.36
_0579_,5.36
_0733_,5.34
_0910_,5.28
_0042_,5.26
_0058_,5.26
_0238_,5.26
_0309_,5.26
_0447_,5.26
_0547_,5.26
_0956_,5.26
_1283_,5.26
_0496_,5.22
_0220_,5.16
_0439_,5.16
_0523_,5.155
_0405_,5.14
_0490_,5.14
product[2],5.07
product[7],5.07
_1181_,5.04
_1183_,5.04
_1016_,5.02
_1046_,5.02
_1129_,5.02
_1204_,5.02
mcand[10],4.95
_0438_,4.94
_1054_,4.94
_1258_,4.94
_0391_,4.92
_0776_,4.92
_0098_,4.9
_0383_,4.9
_0761_,4.9
_1215_,4.9
_1227_,4.9
_0489_,4.88
_0559_,4.88
_0879_,4.88
_0152_,4.82
_0014_,4.8
_0072_,4.8
_0226_,4.8
_0302_,4.8
_0583_,4.8
_1208_,4.785
_0915_,4.78
_0297_,4.76
_0459_,4.76
mplier[11],4.73
_0518_,4.7
_1255_,4.7
_0390_,4.68
_0737_,4.48
_1051_,4.48
_0484_,4.46
_0616_,4.46
_1246_,4.45
mcand[12],4.39
product[20],4.39
product[23],4.39
product[9],4.39
_0338_,4.36
_0582_,4.36
_0415_,4.34
_0435_,4.34
_0251_,4.3
mplier[0],4.27
product[11],4.27
product[25],4.27
product[8],4.27
_0273_,4.22
_0654_,4.22
_0965_,4.22
_0699_,4.12
_0139_,4.1
_0360_,4.1
_0752_,4.02
_1342_,4.02
_0025_,4
_0166_,4
_0219_,4
_0303_,4
_0347_,4
_0423_,4
_0669_,4
mplier[12],3.93
product[14],3.93
_0892_,3.88
_0009_,3.76
_0112_,3.76
_0485_,3.76
_0880_,3.76
_1056_,3.76
_1079_,3.76
_0375_,3.68
_0911_,3.64
_1196_,3.64
_0544_,3.56
net50,3.56
_0329_,3.54
_0437_,3.54
_0983_,3.54
_1240_,3.54
_0010_,3.505
_0307_,3.42
_0479_,3.42
_0533_,3.42
_0603_,3.42
_0894_,3.42
_1273_,3.42
_1302_,3.42
_0171_,3.3
_0315_,3.22
_0413_,3.18
_0511_,3.18
_0645_,3.18
_0399_,3.1
_0808_,3.1
_0189_,3.08
_0333_,3.08
_0396_,3.08
_0451_,3.08
_0584_,3.08
_0633_,3.08
_0679_,3.08
_1027_,3.08
_1361_,3.08
_0837_,2.98
_0563_,2.96
_0799_,2.96
_0279_,2.84
_0472_,2.84
_1023_,2.84
_0749_,2.64
_0371_,2.62
_0517_,2.62
_0537_,2.62
_0709_,2.62
_0810_,2.62
_0839_,2.62
_1078_,2.62
_1156_,2.62
_1214_,2.62
_1266_,2.62
_1287_,2.62
net68,2.62
_0097_,2.5
_0232_,2.5
_0325_,2.5
_0349_,2.5
_0445_,2.5
_0455_,2.5
_0536_,2.5
_1242_,2.5
net59,2.5
_0816_,2.41
_0263_,2.3
_1191_,2.3
_0352_,2.18
_0889_,2.18
_0023_,2.16
_0141_,2.16
_0247_,2.16
_0280_,2.16
_0951_,2.16
_1049_,2.16
_0070_,2.04
_0114_,2.04
_0577_,2.04
_0807_,2.04
_0913_,2.04
_1310_,2.04
_1350_,2.04
_1366_,2.04
_1234_,1.92
_0069_,1.84
_0216_,1.84
_0363_,1.84
_0420_,1.84
_0500_,1.84
_0550_,1.84
_0748_,1.84
_1115_,1.84
_1259_,1.84
_1327_,1.82
_0029_,1.725
_0032_,1.7
_0037_,1.7
_0108_,1.7
_0384_,1.7
_0404_,1.7
_0625_,1.7
_0630_,1.7
_0958_,1.7
_1066_,1.7
_1318_,1.7
net55,1.7
_0374_,1.68
_0045_,1.38
_0093_,1.38
_0118_,1.38
_0312_,1.38
_0412_,1.38
_0617_,1.38
_1149_,1.38
_1180_,1.38
_0613_,1.36
_1140_,1.36
_0362_,1.26
_0497_,1.26
_0184_,1.14
_1238_,1.14
_0100_,0.92
_0487_,0.92
_0895_,0.92
_1030_,0.92
_1263_,0.915
_0328_,0.8
_0359_,0.8
_1339_,0.8
_0103_,0.46
_0388_,0.46
_0441_,0.46
_0946_,0.46
_1322_,0.46
